"","text","word_scores","compound","pos","neu","neg","but_count","positive","negative","neutral","assigned"
"1","A private boys school in Sydney has apologised for the error which saw more than 160 students vaccinated with the Pfizer shot in May. READ MORE: ","{0, 0, 0, 0, 0, 0, 0, 0.4, 0, 0, -1.7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",-0.318,0.05,0.854,0.096,0,0.342465753424658,0.657534246575342,0,"Negative"
"2","Masked Elitism nothing less!NSW Health apologises for error after St Josephs College students receive Pfizer COVID-19 vaccine jabs","{0, 0, 0, 0, 0, -0.592, 0, -1.7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",-0.555,0,0.777,0.223,0,0,1,0,"Negative"
"3","Caught out you should be ashamed St Josephs.NSW Health apologises for \error\ after St Joseph\s College students receive Pfizer COVID-19 vaccine jabs","{0, 0, 0, 0, 0, -2.1, 0, 0, 0, 0.8, 0, -1.7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",-0.612,0.068,0.714,0.218,0,0.237762237762238,0.762237762237762,0,"Negative"
"4","Did you hear about the public school in Alice Springs having all students accidentally vaccinated? No? Funny about that.NSW Health apologises for error after St Josephs College students receive Pfizer COVID-19 vaccine jabs ","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1.4, 0, 0, -1.406, 0, 0, 0, 0.8, 0, -1.7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",-0.724,0.047,0.75,0.203,0,0.188,0.812,0,"Negative"
"5"," #ClassOf2021, be sure youve got what you need for college this fall! Visit ","{0, 0, 0, 1.3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",0.38,0.166,0.834,0,0,1,0,0,"Positive"
"6","Vaccine appointments are available atNYC Vaccine Hub - City College of New York - North Academic Center (Pfizer)1549 Amsterdam Ave, Manhattan, NY, 10031(877) 829-4692","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",0,0,1,0,0,NA,NA,1,"Neutral"
"7"," Proof of vaccine battleground states and BTW we need to get rid of the vaccine electoral college","{0, 0, 0, 0, -1.7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",-0.402,0,0.863,0.137,0,0,1,0,"Negative"
"8","Bidens new Covid vaccine push focuses on workers, students, doctors offices to stifle deltavariant ","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",0,0,1,0,0,NA,NA,1,"Neutral"
"9","DONT MISS OUT! Have you gotten your FREE ticket to see The Chosen Few IN-PERSON Sat. Aug 28 at Kennedy King College?Its open to fully vaccinated people only, make sure youre vaxd before Aug 14.Register at ","{0, 0.98642, 0, 0, 0, 0, 0, 3.033, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.3, 0, 0, 0, 0, 0, 0}",0.823,0.207,0.793,0,0,1,0,0,"Positive"
"10","  Vaccines are not a one size fits all. My son is 20 and was vaccinated at college but even if my daughter didnt have adverse reaction to others I wouldnt vaccinate her considering around 300 kids have died in US of Covid and 300+ have had major issues from vaccine","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.665, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -3.9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",-0.5,0.047,0.866,0.087,1,0.350746268656716,0.649253731343283,0,"Negative"
"11","  What the hell offer people another stimulus check if you get the vaccine free college free mortgage","{0, 0, 0, -3.6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.3, 0, 2.3, 0}",0.25,0.252,0.573,0.176,0,0.588785046728972,0.411214953271028,0,"Positive"
